id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
25,train,0.0,0.0,0.0,87.41321978277729,87.41321978277729,0
26,train,0.0,0.0,0.0,67.57323765824516,67.57323765824516,0
27,train,0.0,0.0,0.0,81.02250806546108,81.02250806546108,0
28,train,1104.0,968.0,835.0,59.48004686736707,59.48004686736707,0
29,test,0.0,0.0,0.0,56.064318779440995,56.064318779440995,0
30,train,1283.0,1086.0,939.25,19.74799769037815,19.74799769037815,1
31,test,1745.5,1468.5,1239.5,23.185578065986885,23.185578065986885,1
32,test,1542.0,1322.0,1125.0,36.60216761848961,36.60216761848961,1
33,test,0.0,0.0,0.0,50.98120224110375,50.98120224110375,0
34,train,0.0,0.0,0.0,29.422182302362415,29.422182302362415,1
35,train,0.0,0.0,0.0,53.07347625797892,53.07347625797892,0
36,test,1490.0,1316.0,1080.0,60.88407083302574,60.88407083302574,0
37,train,1398.0,1312.0,1096.0,58.59473552841727,58.59473552841727,0
38,train,1328.0,1138.0,933.0,53.28371244412954,53.28371244412954,0
39,train,1380.0,1096.0,917.0,47.27534208561611,47.27534208561611,0
40,test,1286.0,1086.0,925.0,122.15966607463083,122.15966607463083,0
41,train,0.0,0.0,0.0,127.08547635469046,127.08547635469046,0
42,train,1381.0,1153.0,952.0,116.66045334905608,116.66045334905608,0
43,train,1287.5999755859375,1074.800048828125,897.5999755859375,107.00085729243402,107.00085729243402,0
44,train,0.0,0.0,0.0,97.72749218015636,97.72749218015636,0
45,test,1221.0,966.0,818.0,144.13679147890068,144.13679147890068,0
46,train,1210.0,843.0,716.0,154.4884348201185,154.4884348201185,0
47,train,0.0,0.0,0.0,136.47555056115698,136.47555056115698,0
48,train,1366.0,1135.199951171875,941.7000122070312,125.3771560299582,125.3771560299582,0
49,train,1264.0,1094.0,872.0,136.03441122158128,136.03441122158128,0
50,train,1268.0,1108.0,979.0,94.8279626702063,94.8279626702063,0
51,train,1205.5555419921875,1010.7777709960938,854.3333129882812,106.07417646516048,106.07417646516048,0
52,test,1236.75,986.75,777.375,86.5267061741481,86.5267061741481,0
53,train,988.0,797.0,689.0,113.92121761933461,113.92121761933461,0
54,train,1268.0,1088.0,870.0,91.07962769128001,91.07962769128001,0
55,train,1316.0,1100.25,915.25,133.91839331194933,133.91839331194933,0
56,train,1341.0,1086.0,862.0,152.2445412150846,152.2445412150846,0
57,train,1260.0,1030.0,824.0,106.77501714714973,106.77501714714973,0
58,train,1300.0,1114.0,914.0,137.50171192551758,137.50171192551758,0
59,train,1322.800048828125,1145.5999755859375,933.4000244140625,152.91617039392395,152.91617039392395,0
60,train,0.0,0.0,0.0,162.0469951548049,162.0469951548049,0
61,train,1360.0,1182.0,1013.0,164.6274957735458,164.6274957735458,0
62,train,0.0,0.0,0.0,164.6644300405491,164.6644300405491,0
63,train,0.0,0.0,0.0,177.62745407209295,177.62745407209295,0
64,train,1237.3333740234375,962.3333129882812,831.3333129882812,171.4118690154808,171.4118690154808,0
65,train,1074.0,853.0,753.0,173.742358555892,173.742358555892,0
66,train,0.0,0.0,0.0,190.0926896242112,190.0926896242112,0
67,train,1506.5,1283.5,1125.75,188.48688091796632,188.48688091796632,0
68,train,1316.0,1189.0,1014.0,197.73831152604717,197.73831152604717,0
69,train,1256.0,1030.0,926.0,185.4912183618636,185.4912183618636,0
70,train,1404.5,1144.25,1046.75,205.71567277733467,205.71567277733467,0
71,train,1036.0,800.0,758.0,185.53848369063724,185.53848369063724,0
72,test,1410.0,1226.0,1022.0,185.17967669221787,185.17967669221787,0
73,train,0.0,0.0,0.0,197.34815685903033,197.34815685903033,0
74,train,1351.3333740234375,1162.0,1002.6666870117188,212.5344350368281,212.5344350368281,0
75,train,1215.5,1057.25,893.0,207.6490746112727,207.6490746112727,0
76,train,0.0,0.0,0.0,208.15002701558342,208.15002701558342,0
