id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
282,train,1432.0,1196.0,1020.0,329.658307506803,329.658307506803,0
283,train,1477.0,1280.0,1082.0,299.3124791814815,299.3124791814815,0
284,test,1473.0,1318.0,1161.5,309.36447105983035,309.36447105983035,0
285,train,1232.0,1074.0,976.5,360.6264948177981,360.6264948177981,0
286,train,1068.0,938.0,786.0,333.0942397720581,333.0942397720581,0
287,train,1274.0,1150.0,978.0,323.2794564595772,323.2794564595772,0
288,train,0.0,0.0,0.0,310.4761363591746,310.4761363591746,0
289,train,1478.0,1238.0,1028.0,372.90721246315906,372.90721246315906,0
290,train,1428.0,1230.0,978.0,362.59146785171833,362.59146785171833,0
291,test,1214.0,1072.0,908.0,342.61841463743497,342.61841463743497,0
292,train,1166.0,1106.0,1040.0,331.0604865999661,331.0604865999661,0
293,test,0.0,0.0,0.0,350.8716552434644,350.8716552434644,0
294,train,1206.0,1106.0,1016.0,326.51152006643554,326.51152006643554,0
295,train,1754.0,1582.0,1482.0,379.9313554489198,379.9313554489198,0
296,train,1724.0,1468.0,1262.0,371.68490317299336,371.68490317299336,0
297,train,0.0,0.0,0.0,338.32783991984275,338.32783991984275,0
298,train,0.0,0.0,0.0,383.67988071791933,383.67988071791933,0
299,train,1472.0,1194.0,1026.0,349.3152412118961,349.3152412118961,0
300,train,1406.0,1328.0,1172.0,258.9041882090268,258.9041882090268,0
301,train,0.0,0.0,0.0,312.7654845715164,312.7654845715164,0
302,train,1103.6666259765625,972.0,851.6666870117188,265.31637200955095,265.31637200955095,0
303,train,1415.0,1242.0,1061.0,311.35915244689795,311.35915244689795,0
304,train,1328.0,1102.0,982.0,293.79650874525396,293.79650874525396,0
305,train,1254.5,1081.5,923.75,327.5296180401103,327.5296180401103,0
306,train,1228.5,1032.5,844.5,265.9099723177467,265.9099723177467,0
307,train,1028.0,830.0,767.0,276.4045453079137,276.4045453079137,0
