B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
2431.5,1464.0,533.0,818.5,823.0,2740.0,-0.0596538707613945,0.5380297303199768,0,36.74994352603701,-1.3140106818458301
1684.0,817.0,307.5,492.0,316.5,2795.0,-0.24804644286632538,0.7965611219406128,0,36.73143823118414,-1.3132920296185344
1800.0,1051.0,388.0,568.0,511.0,2758.0,-0.2101799100637436,0.6873661875724792,0,36.76404707599768,-1.308800453197937
2100.5,1440.0,730.5,975.0,1091.0,2168.0,-0.015813518315553665,0.3304694592952728,0,36.754614765514425,-1.3064648334592261
1547.0,1272.0,752.0,905.0,1070.0,1210.0,0.12223431468009949,0.061403509229421616,0,36.71805333345076,-1.3059258442887542
2511.0,1596.5,596.0,969.0,1061.0,3254.0,-0.12888118624687195,0.5082271099090576,0,36.723173730570245,-1.3281142318065065
1507.0,679.5,274.0,432.5,270.5,2541.0,-0.2554347813129425,0.8075760006904602,0,36.763238592241976,-1.3164361331129528
2815.5,1635.5,674.0,1093.0,912.0,3836.0,-0.15342403948307037,0.6158382296562195,0,36.73655862830363,-1.3362889008919943
2156.0,1232.0,346.0,619.0,487.0,3084.0,-0.17709924280643463,0.7272472977638245,0,36.72613817100784,-1.3186819213232515
1791.0,797.0,303.5,526.0,291.0,3640.0,-0.34045296907424927,0.8519460558891296,0,36.748955379224476,-1.3167056276981886
1733.0,917.0,411.0,620.0,471.0,2635.0,-0.2065018266439438,0.6967160105705261,0,36.76090297250327,-1.3248802967836764
2920.0,1904.0,692.0,1080.0,1212.0,3232.0,-0.050715215504169464,0.4545454680919647,0,36.74194852000834,-1.3375465422897614
1001.0,465.5,254.0,334.5,280.5,1820.0,-0.29032257199287415,0.7329207062721252,0,36.737456943587745,-1.312303882806003
3070.5,2102.0,800.5,1124.0,1186.0,2990.0,0.013282732106745243,0.4319923520088196,0,36.75569274385537,-1.3091597793115846
1472.0,683.0,268.0,433.0,269.0,2632.0,-0.28265106678009033,0.8145467042922974,0,36.760813140974854,-1.315717480885657
1687.0,802.5,288.0,464.0,311.5,2872.0,-0.2599254250526428,0.8043034672737122,0,36.75542324927014,-1.3243413076132045
1623.5,888.5,290.5,470.0,321.0,2818.5,-0.26902297139167786,0.795508861541748,0,36.75470459704284,-1.291822294328078
1464.0,665.0,270.0,424.0,286.0,2830.0,-0.31811830401420593,0.8164313435554504,0,36.75371645023031,-1.3164361331129528
1589.0,778.0,505.0,954.0,575.0,3464.0,-0.371066689491272,0.7152760624885559,0,36.721916089172474,-1.3088902847263488
1592.0,1009.0,402.0,568.0,687.0,2048.0,-0.12527473270893097,0.49762341380119324,0,36.71877198567806,-1.3098784315388803
2200.0,2014.0,886.0,1143.0,1232.0,1967.0,0.055915527045726776,0.2297593057155609,0,36.74679942254259,-1.2976613436748548
