B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
2651.0,1960.0,554.5,841.0,985.0,2590.0,0.011638999916613102,0.44895103573799133,0,36.92331837587207,-1.2345996107296644
2603.5,2096.0,784.5,1074.0,1259.0,2460.0,0.028340080752968788,0.3229362666606903,0,36.91783865263894,-1.239270850207086
874.5,671.5,403.0,574.0,704.0,741.0,0.08263695240020752,0.025605536997318268,0,36.87903143236498,-1.237025061996787
2538.0,1569.0,530.0,863.5,771.0,3283.0,-0.127984881401062,0.6196349263191223,0,36.915233538315,-1.21277054932556
2307.0,1478.0,459.5,782.0,825.0,3012.5,-0.1326252520084381,0.5700325965881348,0,36.88154671516052,-1.2327131486330134
2592.0,1677.0,530.0,808.0,966.0,2624.0,-0.0061349691823124886,0.4618384540081024,0,36.915053875258174,-1.2286707298544755
2336.0,1472.0,438.0,782.0,610.0,2592.0,-0.051948051899671555,0.6189881563186646,0,36.907687689928395,-1.2517574326563472
2388.0,1730.0,702.0,1005.0,1057.0,2626.5,-0.047562070190906525,0.4260893166065216,0,36.87948059000704,-1.238911524093438
2102.0,1464.0,435.0,717.0,831.0,2488.0,-0.08409585803747177,0.499246746301651,0,36.883612840313994,-1.2215740391099312
2702.5,2088.5,538.5,762.5,1041.0,1902.0,0.17385166883468628,0.29255861043930054,0,36.88585862852429,-1.2434031005140356
2266.0,1948.0,846.0,1044.0,1212.0,1836.0,0.1048269122838974,0.20472441613674164,0,36.89304515079725,-1.2486133291619288
2871.0,2088.5,589.0,895.0,1090.0,2374.0,0.09475690871477127,0.37066975235939026,0,36.90193847211003,-1.2308266865363624
2022.5,1392.5,739.5,952.5,1024.0,2225.0,-0.047675102949142456,0.3696522116661072,0,36.89690790651896,-1.2473556877641616
3523.0,3060.0,2710.0,3074.0,3094.0,3561.0,-0.005364201031625271,0.07017280161380768,0,36.89825537944514,-1.2266046047010006
3523.0,3060.0,2608.0,2900.0,3028.0,3320.0,0.029665350914001465,0.04599874094128609,0,36.89825537944514,-1.2266944362294125
2569.5,1747.0,475.0,703.5,757.0,3128.5,-0.09810459613800049,0.6103461384773254,0,36.89780622180308,-1.2243588164907018
2718.0,1907.0,708.0,982.0,1536.0,2923.0,-0.03634107485413551,0.3110562860965729,0,36.890260373416474,-1.2301080343090667
2322.0,1643.0,502.0,766.0,756.0,2820.0,-0.0968494713306427,0.5771812200546265,0,36.91729966346847,-1.2284012352692397
